Code,Description
V00315,"Domicílios Particulares Permanentes Ocupados, Destinação do esgoto do banheiro ou sanitário ou buraco para dejeções é outra forma"
V00316,"Domicílios Particulares Permanentes Ocupados, Destinação do esgoto inexistente, pois não tinham banheiro nem sanitário"
V00397,"Domicílios Particulares Permanentes Ocupados, Lixo coletado no domicílio por serviço de limpeza"
V00398,"Domicílios Particulares Permanentes Ocupados, Lixo depositado em caçamba de serviço de limpeza"
V00399,"Domicílios Particulares Permanentes Ocupados, Lixo queimado na propriedade"
V00400,"Domicílios Particulares Permanentes Ocupados, Lixo enterrado na propriedade"
V00401,"Domicílios Particulares Permanentes Ocupados, Lixo jogado em terreno baldio, encosta ou área pública"
V00402,"Domicílios Particulares Permanentes Ocupados, Outro destino do lixo"
V00463,"Domicílios Particulares Permanentes Ocupados, Domicílio possui ligação à rede geral de distribuição de água, mas utiliza principalmente outra forma"
V00464,"Domicílios Particulares Permanentes Ocupados, Domicílio não possui ligação à rede geral de distribuição de água"
V00465,"Domicílios Particulares Permanentes Ocupados, Tipo de espécie é casa, Domicílio possui ligação à rede geral de distribuição de água, mas utiliza principalmente outra forma"
V00466,"Domicílios Particulares Permanentes Ocupados, Tipo de espécie é casa, Domicílio não possui ligação à rede geral de distribuição de água"
V00467,"Domicílios Particulares Permanentes Ocupados, Tipo de espécie é casa de vila ou em condomínio, Domicílio possui ligação à rede geral de distribuição de água, mas utiliza principalmente outra forma"
V00468,"Domicílios Particulares Permanentes Ocupados, Tipo de espécie é casa de vila ou em condomínio, Domicílio não possui ligação à rede geral de distribuição de água"
V00469,"Domicílios Particulares Permanentes Ocupados, Tipo de espécie é apartamento, Domicílio possui ligação à rede geral de distribuição de água, mas utiliza principalmente outra forma"
V00470,"Domicílios Particulares Permanentes Ocupados, Tipo de espécie é apartamento, Domicílio não possui ligação à rede geral de distribuição de água"
V00508,"Domicílios Particulares Permanentes Ocupados, Utiliza rede geral de distribuição, Quantidade de moradores"
V00509,"Domicílios Particulares Permanentes Ocupados, Utiliza poço profundo ou artesiano, Quantidade de moradores"
V00510,"Domicílios Particulares Permanentes Ocupados, Utiliza poço raso, freático ou cacimba, Quantidade de moradores"
V00511,"Domicílios Particulares Permanentes Ocupados, Utiliza fonte, nascente ou mina, Quantidade de moradores"
V00512,"Domicílios Particulares Permanentes Ocupados, Utiliza carro-pipa, Quantidade de moradores"
V00513,"Domicílios Particulares Permanentes Ocupados, Utiliza água da chuva armazenada, Quantidade de moradores"
V00514,"Domicílios Particulares Permanentes Ocupados, Utiliza rios, açudes, córregos, lagos e igarapés, Quantidade de moradores"
V00515,"Domicílios Particulares Permanentes Ocupados, Utiliza outra forma de abastecimento de água, Quantidade de moradores"
V00540,"Domicílios Particulares Permanentes Ocupados, Água chega encanada até dentro da casa, apartamento ou habitação, Quantidade de moradores"
V00541,"Domicílios Particulares Permanentes Ocupados, Água chega encanada, mas apenas ao terreno, Quantidade de moradores"
V00542,"Domicílios Particulares Permanentes Ocupados, Água não chega encanada ao domicílio, Quantidade de moradores"
V00580,"Domicílios Particulares Permanentes Ocupados, Destinação do esgoto do banheiro ou sanitário ou buraco para dejeções é rede geral ou pluvial, Quantidade de moradores"
V00581,"Domicílios Particulares Permanentes Ocupados, Destinação do esgoto do banheiro ou sanitário ou buraco para dejeções é fossa séptica ou fossa filtro ligada à rede, Quantidade de moradores"
V00582,"Domicílios Particulares Permanentes Ocupados, Destinação do esgoto do banheiro ou sanitário ou buraco para dejeções é fossa séptica ou fossa filtro não ligada à rede, Quantidade de moradores"
V00583,"Domicílios Particulares Permanentes Ocupados, Destinação do esgoto do banheiro ou sanitário ou buraco para dejeções é fossa rudimentar ou buraco, Quantidade de moradores"
V00584,"Domicílios Particulares Permanentes Ocupados, Destinação do esgoto do banheiro ou sanitário ou buraco para dejeções é vala, Quantidade de moradores"
V00585,"Domicílios Particulares Permanentes Ocupados, Destinação do esgoto do banheiro ou sanitário ou buraco para dejeções é rio, lago, córrego ou mar, Quantidade de moradores"
V00586,"Domicílios Particulares Permanentes Ocupados, Destinação do esgoto do banheiro ou sanitário ou buraco para dejeções é outra forma, Quantidade de moradores"
V00587,"Domicílios Particulares Permanentes Ocupados, Destinação do esgoto inexistente, pois não tinham banheiro nem sanitário, Quantidade de moradores"
V00612,"Domicílios Particulares Permanentes Ocupados, Lixo coletado no domicílio por serviço de limpeza, Quantidade de moradores"
V00613,"Domicílios Particulares Permanentes Ocupados, Lixo depositado em caçamba de serviço de limpeza, Quantidade de moradores"
V00614,"Domicílios Particulares Permanentes Ocupados, Lixo queimado na propriedade, Quantidade de moradores"
V00615,"Domicílios Particulares Permanentes Ocupados, Lixo enterrado na propriedade, Quantidade de moradores"
V00616,"Domicílios Particulares Permanentes Ocupados, Lixo jogado em terreno baldio, encosta ou área pública, Quantidade de moradores"
V00617,"Domicílios Particulares Permanentes Ocupados, Outro destino do lixo, Quantidade de moradores"
V00636,"Domicílios Particulares Permanentes Ocupados, Domicílio possui ligação à rede geral de distribuição de água, mas utiliza principalmente outra forma, Quantidade de moradores"
V00637,"Domicílios Particulares Permanentes Ocupados, Domicílio não possui ligação à rede geral de distribuição de água, Quantidade de moradores"
V00638,"Domicílios Particulares Permanentes Ocupados, Domicílio possui ligação à rede geral de distribuição de água, mas utiliza principalmente outra forma, Quantidade de crianças de zero a nove anos de idade"
V00639,"Domicílios Particulares Permanentes Ocupados, Domicílio não possui ligação à rede geral de distribuição de água, Quantidade de crianças de zero a nove anos de idade"
